Cluster,customer_number,total_spend,num_of_unique_visits,total_quantity,average_basket_quantity,average_basket_spend,SUM_basket_categories,avg_spend_veg_category,avg_spend_other_food_category,avg_spend_miscelleanous_category
1,12834,1520.59,31,256,1.3689839572192513,8.13,115,0.7227737226277372,1.0133653846153847,87.74533333333333
1,12838,763.13,38,464,1.3144475920679888,2.16,185,1.4072527472527472,1.746923076923077,2.6904166666666662
1,12865,732.67,30,452,1.0319634703196348,1.67,215,1.0795205479452057,1.459310344827586,2.706990291262136
1,12917,518.08,59,254,1.1493212669683257,2.34,156,0.99008,3.1690756302521006,1.72
1,12968,521.76,50,240,1.2307692307692308,2.68,161,0.9669230769230768,1.015,3.2917073170731705
1,12973,814.1,45,359,1.2422145328719725,2.82,176,1.3111428571428572,0.9344,7.929661016949153
1,12978,907.16,35,360,1.1726384364820848,2.95,190,1.1504379562043796,1.6854621848739495,5.278653846153846
1,13006,828.42,26,419,1.3052959501557633,2.58,172,1.2167586206896552,2.7435915492957745,1.987878787878788
1,13056,752.16,72,214,1.4078947368421053,4.95,96,1.3023809523809524,3.918296703296704,1.0618181818181818
1,13101,403.56,80,232,1.2275132275132277,2.14,148,0.8769000000000001,1.325625,5.239166666666667
1,13138,359.07,26,203,1.2530864197530864,2.22,106,0.921917808219178,1.0349425287356322,4.691395348837209
1,13147,552.8,62,374,1.6051502145922747,2.37,168,0.9051515151515152,0.8184246575342465,3.2690625
1,13161,478.75,23,145,1.2608695652173911,4.16,85,0.9387755102040816,2.185,13.3345
1,13181,558.32,45,131,1.1196581196581197,4.77,101,1.3565853658536584,0.9011428571428572,8.566545454545455
1,13277,768.22,25,340,1.3127413127413128,2.97,115,1.1839906103286384,3.0066265060240966,6.056363636363637
1,13307,547.13,42,373,1.133738601823708,1.66,206,1.2056542056074766,1.6178333333333332,2.435384615384616
1,13376,494.28,66,310,1.0801393728222997,1.72,205,1.0494827586206896,1.0678431372549018,5.963235294117647
1,13405,265.18,29,105,1.141304347826087,2.88,72,0.917941176470588,1.262340425531915,7.276666666666666
1,13454,738.58,45,413,1.156862745098039,2.07,214,1.2689247311827958,1.6172027972027971,3.229761904761905
1,13517,461.39,28,396,1.1578947368421053,1.35,177,0.8467432950191571,1.5635779816513764,2.6907692307692304
1,13550,528.72,46,274,1.256880733944954,2.43,137,1.3417391304347828,1.3621,4.037457627118644
1,13605,329.74,20,148,1.1653543307086611,2.6,90,0.94875,1.103333333333333,4.828936170212766
1,13606,599.77,82,228,1.1176470588235294,2.94,169,0.820625,1.969759036144578,3.628495575221239
1,13667,305.22,20,99,1.1511627906976745,3.55,66,0.8690909090909091,1.0526666666666666,5.112745098039215
1,13696,469.05,24,269,1.2008928571428572,2.09,133,1.1437068965517243,2.435842696629214,1.86859375
1,13718,518.26,41,245,1.129032258064516,2.39,163,1.0405769230769233,1.3070786516853932,3.3444230769230776
1,13826,364.39,29,146,1.1587301587301588,2.89,90,1.272608695652174,3.2426829268292687,2.219444444444445
1,13868,555.66,15,319,1.0459016393442624,1.82,140,1.1646470588235294,1.8803488372093025,3.1104761904761906
1,13889,665.59,60,391,1.130057803468208,1.92,223,0.768,1.5221985815602836,5.9472000000000005
